0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
-0.0080838,-0.13329,-0.0056777,0.16492,0.064212,0.023116,-0.084354,-0.08138,0.0036499,0.078541,0.2436,0.058669,0.0219,-0.1756,-0.22211,-0.14897,0.31809,-0.16411,0.47355,0.58196,-0.058129,0.010409,-0.36405,-0.44354,8.9381,0.12734
0.0054459,-0.076649,-0.091113,-0.082191,-0.019737,-0.17547,-0.10058,0.011896,0.0035148,-0.019061,0.32822,0.2263,-0.035823,0.29686,-0.28226,-0.15032,0.20859,-0.01095,0.45327,0.32958,-0.2217,-0.11693,-0.39865,-0.36905,-5.1872,-0.093276
-0.0026889,0.19169,-0.1802,-0.3846,-0.16803,0.18709,0.36202,0.23481,0.0036499,-0.34756,0.16222,0.23819,0.076108,0.28956,-0.059886,-0.070565,0.22819,0.24117,0.58494,0.58534,0.016222,-0.48368,-0.44259,-0.48679,1.1981,0.02555
-0.004612,0.20629,-0.33214,-0.33052,0.080975,-0.24414,0.19034,0.38108,0.0036499,-0.3654,0.058669,0.2386,0.48085,0.54871,0.0058129,-0.32849,0.4142,0.28753,0.24211,0.42894,-0.32403,-0.26996,-0.19507,-0.32052,4.3125,-0.67686
0.016253,0.074351,-0.27388,-0.47693,-0.18142,-0.056371,0.048666,0.11761,0.0035148,-0.31052,0.28388,0.47422,0.4407,0.50896,-0.20507,-0.31538,0.42948,0.16546,0.31754,0.37216,-0.17249,-0.38784,-0.30457,-0.25928,-1.2492,-0.75419
0.011726,0.33579,-0.20642,-0.21832,-0.2509,-0.18858,0.3143,0.15884,0.0037851,-0.47219,0.51207,0.26185,0.05921,0.47111,-0.40379,-0.35972,0.24901,0.24008,0.43056,0.32579,-0.10125,-0.32147,-0.32079,-0.21535,-0.49013,-0.097602
0.01627,0.34904,-0.12896,-0.23022,-0.22089,-0.41028,0.042447,0.46003,0.0036499,-0.27658,0.72499,0.47111,0.14329,0.46746,-0.48679,-0.4265,0.50734,0.22778,0.084895,0.1387,-0.21062,-0.13005,-0.10044,-0.13045,-7.0729,-0.12761
0.0088667,0.083813,-0.27239,-0.40393,-0.089221,-0.056236,0.3316,0.19277,0.0036499,-0.16952,0.44921,0.42407,0.18439,0.3919,-0.33309,-0.3024,0.25131,0.074891,0.22143,0.19142,-0.19426,-0.064347,-0.12045,-0.18263,-8.5195,-0.41947
-0.0086624,-0.037581,-0.34985,-0.61738,0.082597,0.19967,0.23616,0.2217,0.0033796,-0.31065,0.087193,0.43921,0.19602,0.21967,-0.026496,-0.45111,0.09571,0.26807,0.22711,0.19291,-0.03704,0.16965,-0.21481,-0.089086,-2.8421,-0.19858
-0.010245,-0.0071647,-0.22697,-0.22292,0.24333,-0.081515,0.25252,0.24103,0.0036499,-0.060832,0.51937,0.15127,0.10882,0.058669,-0.35945,-0.12396,0.13194,0.12964,0.077189,0.23238,-0.010139,0.17885,-0.047044,-0.1583,4.03,-0.16655
